iter	Passed	Remaining
824	15977	3389
825	15995	3369
826	16013	3349
827	16033	3330
828	16051	3311
829	16071	3291
830	16089	3272
831	16108	3252
832	16127	3233
833	16144	3213
834	16162	3193
835	16180	3174
836	16199	3154
837	16217	3135
838	16235	3115
839	16254	3096
840	16272	3076
841	16290	3056
842	16309	3037
843	16327	3017
844	16346	2998
845	16365	2978
846	16383	2959
847	16401	2939
848	16419	2920
849	16437	2900
850	16456	2881
851	16474	2861
852	16492	2842
853	16510	2822
854	16528	2803
855	16547	2783
856	16567	2764
857	16585	2744
858	16603	2725
859	16621	2705
860	16640	2686
861	16658	2666
862	16675	2647
863	16693	2627
864	16712	2608
865	16730	2588
866	16749	2569
867	16769	2550
868	16788	2530
869	16811	2512
870	16830	2492
871	16848	2473
872	16866	2453
873	16883	2433
874	16902	2414
875	16920	2395
876	16938	2375
877	16957	2356
878	16975	2336
879	16993	2317
880	17011	2297
881	17028	2278
882	17046	2258
883	17064	2239
884	17082	2219
885	17099	2200
886	17117	2180
887	17135	2161
888	17154	2141
889	17177	2123
890	17199	2104
891	17220	2084
892	17245	2066
893	17269	2047
894	17290	2028
895	17310	2009
896	17330	1990
897	17349	1970
898	17368	1951
899	17386	1931
900	17404	1912
901	17423	1893
902	17442	1873
903	17460	1854
904	17478	1834
905	17496	1815
906	17516	1796
907	17536	1776
908	17557	1757
909	17577	1738
910	17597	1719
911	17616	1699
912	17635	1680
913	17654	1661
914	17674	1641
915	17694	1622
916	17712	1603
917	17730	1583
918	17749	1564
919	17769	1545
920	17788	1525
921	17809	1506
922	17828	1487
923	17846	1467
924	17865	1448
925	17884	1429
926	17902	1409
927	17921	1390
928	17939	1371
929	17957	1351
930	17974	1332
931	17993	1312
932	18011	1293
933	18029	1274
934	18047	1254
935	18066	1235
936	18085	1216
937	18105	1196
938	18124	1177
939	18142	1158
940	18160	1138
941	18177	1119
942	18195	1099
943	18213	1080
944	18232	1061
945	18249	1041
946	18268	1022
947	18308	1004
948	18327	984
949	18346	965
950	18364	946
951	18382	926
952	18402	907
953	18422	888
954	18443	869
955	18462	849
956	18482	830
957	18501	811
958	18520	791
959	18539	772
960	18557	753
961	18576	733
962	18595	714
963	18614	695
964	18632	675
965	18650	656
966	18667	637
967	18685	617
968	18705	598
969	18723	579
970	18741	559
971	18759	540
972	18777	521
973	18795	501
974	18814	482
975	18832	463
976	18852	443
977	18870	424
978	18888	405
979	18907	385
980	18925	366
981	18943	347
982	18962	327
983	18980	308
984	18998	289
985	19015	270
986	19034	250
987	19053	231
988	19072	212
989	19090	192
990	19108	173
991	19126	154
992	19144	134
993	19162	115
994	19180	96
995	19198	77
996	19217	57
997	19236	38
998	19254	19
999	19273	0
